displ,fuelType,VClass,engId
5.0,Regular,Subcompact Cars,3400
2.0,Regular,Subcompact Cars,3180
2.0,Regular,Subcompact Cars,3181
2.5,Premium,Subcompact Cars,3260
2.5,Premium,Subcompact Cars,3261
1.0,Regular,Subcompact Cars,54002
1.0,Regular,Subcompact Cars,54001
1.5,Regular,Subcompact Cars,26007
1.5,Regular,Subcompact Cars,26005
1.6,Regular,Subcompact Cars,26011
1.5,Regular,Subcompact Cars,26001
2.2,Regular,Subcompact Cars,26035
2.2,Premium,Subcompact Cars,26037
2.3,Premium,Subcompact Cars,26041
1.5,Regular,Subcompact Cars,26501
1.5,Regular,Subcompact Cars,26503
1.5,Regular,Subcompact Cars,26504
3.0,Premium,Subcompact Cars,38032
4.0,Premium,Subcompact Cars,30590
4.0,Premium,Subcompact Cars,30592
6.0,Premium,Subcompact Cars,30580
3.0,Premium,Subcompact Cars,57008
4.0,Premium,Subcompact Cars,57010
1.6,Regular,Subcompact Cars,56035
1.9,Regular,Subcompact Cars,56046
4.2,Regular,Special Purpose Vehicles,1830
2.0,Regular,Subcompact Cars,56050
2.5,Premium,Subcompact Cars,56051
3.2,Premium,Subcompact Cars,20030
5.0,Regular,Special Purpose Vehicle 4WD,4961
5.0,Regular,Special Purpose Vehicle 4WD,4963
5.7,Premium,Subcompact Cars,4103
2.0,Regular,Subcompact Cars,4405
2.0,Regular,Subcompact Cars,4404
6.2,Diesel,Special Purpose Vehicle 4WD,4982
6.8,Premium,Subcompact Cars,44002
2.0,Regular,Subcompact Cars,47008
2.0,Premium,Subcompact Cars,47009
2.0,Regular,Subcompact Cars,47007
2.1,Regular,Subcompact Cars,47006
2.3,Premium,Subcompact Cars,47005
1.9,Regular,Subcompact Cars,4403
5.7,Regular,Special Purpose Vehicle 4WD,4970
1.9,Regular,Subcompact Cars,4401
1.9,Regular,Subcompact Cars,4402
1.9,Regular,Subcompact Cars,4400
1.8,Regular,Subcompact Cars,66020
1.2,Regular,Subcompact Cars,66010
3.3,Premium,Subcompact Cars,66040
5.7,Regular,Special Purpose Vehicle 4WD,4971
1.3,Regular,Subcompact Cars,54004
1.3,Regular,Subcompact Cars,54005
1.8,Regular,Subcompact Cars,57004
2.2,Regular,Subcompact Cars,57006
1.5,Regular,Subcompact Cars,57001
2.8,Regular,Subcompact Cars,59003
3.2,Premium,Compact Cars,26075
3.2,Premium,Compact Cars,26071
2.5,Premium,Compact Cars,26051
3.0,Premium,Compact Cars,9001
2.5,Regular,Special Purpose Vehicle 4WD,4806
2.2,Regular,Compact Cars,64013
4.2,Premium,Compact Cars,64011
2.8,Premium,Compact Cars,64010
2.8,Regular,Compact Cars,64010
2.5,Premium,Compact Cars,12043
3.0,Premium,Compact Cars,12056
3.1,Premium,Compact Cars,12058
4.0,Premium,Compact Cars,12057
2.3,Regular,Compact Cars,4431
